observation_id,sku_adi,marka,uretici,mensei,bolge,urun_tipi,uzum_blend,vintage,hacim_ml,abv_pct,raf_fiyati,para_birimi,kdv_durumu,fiyat_katmani,kanal,kanal_tipi,magaza,sehir,gozlem_tarihi,gozlem_yontemi,promosyon_var_mi,normal_fiyat,ithalatci_distributor,foto_url,kaynak_url,status,evidence_id,supersedes,collecting_agent,notes
OBS-510,Château de Seguin,Château de Seguin,Château de Seguin,Fransa,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,1405.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,1405.00,UNKNOWN,,https://iyisarap.plus/products/chateau-de-seguin,FACT,EV-2026-08-09-509,,turkiye-pazar-kasifi,Online uzman sarap perakendecisi listeleme fiyati. Sitede KDV ibaresi YOK -> kdv_durumu UNKNOWN. Sadece stokta (available=true) urunler alindi. compare_at_price yok -> promosyon yok.
OBS-511,Pieve di Campoli Chianti Classico,Pieve di Campoli,Pieve di Campoli,Italya,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,1525.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,1525.00,UNKNOWN,,https://iyisarap.plus/products/pieve-di-campoli-chianti-classico,FACT,EV-2026-08-09-509,,turkiye-pazar-kasifi,Online uzman sarap perakendecisi listeleme fiyati. Sitede KDV ibaresi YOK -> kdv_durumu UNKNOWN. Sadece stokta (available=true) urunler alindi. compare_at_price yok -> promosyon yok.
OBS-512,"Meritxell Pallejà ""Nita"" Priorat",Meritxell Pallejà,Meritxell Pallejà,Ispanya,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,1576.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,1576.00,UNKNOWN,,https://iyisarap.plus/products/meritxell-palleja-nita-priorat,FACT,EV-2026-08-09-509,,turkiye-pazar-kasifi,Online uzman sarap perakendecisi listeleme fiyati. Sitede KDV ibaresi YOK -> kdv_durumu UNKNOWN. Sadece stokta (available=true) urunler alindi. compare_at_price yok -> promosyon yok.
OBS-513,Zonin 1821 Prosecco,Zonin 1821,Zonin 1821,Italya,UNKNOWN,Prosecco,UNKNOWN,UNKNOWN,750,UNKNOWN,1662.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,1662.00,UNKNOWN,,https://iyisarap.plus/products/zonin-1821-prosecco,FACT,EV-2026-08-09-509,,turkiye-pazar-kasifi,Online uzman sarap perakendecisi listeleme fiyati. Sitede KDV ibaresi YOK -> kdv_durumu UNKNOWN. Sadece stokta (available=true) urunler alindi. compare_at_price yok -> promosyon yok.
OBS-514,"Marchesi di Barolo ""Roero""",Marchesi di Barolo,Marchesi di Barolo,Italya,UNKNOWN,Beyaz Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,1700.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,1700.00,UNKNOWN,,https://iyisarap.plus/products/marchesi-di-barolo-roero-arneis,FACT,EV-2026-08-09-509,,turkiye-pazar-kasifi,Online uzman sarap perakendecisi listeleme fiyati. Sitede KDV ibaresi YOK -> kdv_durumu UNKNOWN. Sadece stokta (available=true) urunler alindi. compare_at_price yok -> promosyon yok.
OBS-515,"Marchesi di Barolo ""Bric Amel"" Langhe Nebbiolo",Marchesi di Barolo,Marchesi di Barolo,Italya,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,1714.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,1714.00,UNKNOWN,,https://iyisarap.plus/products/marchesi-di-barolo-bric-amel-langhe-nebbiolo,FACT,EV-2026-08-09-509,,turkiye-pazar-kasifi,Online uzman sarap perakendecisi listeleme fiyati. Sitede KDV ibaresi YOK -> kdv_durumu UNKNOWN. Sadece stokta (available=true) urunler alindi. compare_at_price yok -> promosyon yok.
OBS-516,Escudo Rojo Gran Reserva,Escudo Rojo,Escudo Rojo,Sili,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,1782.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,1782.00,UNKNOWN,,https://iyisarap.plus/products/escudo-rojo-gran-reserva,FACT,EV-2026-08-09-509,,turkiye-pazar-kasifi,Online uzman sarap perakendecisi listeleme fiyati. Sitede KDV ibaresi YOK -> kdv_durumu UNKNOWN. Sadece stokta (available=true) urunler alindi. compare_at_price yok -> promosyon yok.
OBS-517,Venta Las Vacas,Uvas Felices,Uvas Felices,Ispanya,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,1957.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,1957.00,UNKNOWN,,https://iyisarap.plus/products/venta-las-vacas,FACT,EV-2026-08-09-509,,turkiye-pazar-kasifi,Online uzman sarap perakendecisi listeleme fiyati. Sitede KDV ibaresi YOK -> kdv_durumu UNKNOWN. Sadece stokta (available=true) urunler alindi. compare_at_price yok -> promosyon yok.
OBS-518,Clarendelle Rouge,Clarence Dillon,Clarence Dillon,Fransa,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,1959.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,1959.00,UNKNOWN,,https://iyisarap.plus/products/clarendelle-rouge,FACT,EV-2026-08-09-509,,turkiye-pazar-kasifi,Online uzman sarap perakendecisi listeleme fiyati. Sitede KDV ibaresi YOK -> kdv_durumu UNKNOWN. Sadece stokta (available=true) urunler alindi. compare_at_price yok -> promosyon yok.
OBS-519,Clarendelle Blanc,Clarence Dillon,Clarence Dillon,Fransa,UNKNOWN,Beyaz Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,1960.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,1960.00,UNKNOWN,,https://iyisarap.plus/products/clarendelle-blanc,FACT,EV-2026-08-09-509,,turkiye-pazar-kasifi,Online uzman sarap perakendecisi listeleme fiyati. Sitede KDV ibaresi YOK -> kdv_durumu UNKNOWN. Sadece stokta (available=true) urunler alindi. compare_at_price yok -> promosyon yok.
OBS-520,Prinz von Hessen Riesling,Prinz von Hessen,Prinz von Hessen,Almanya,UNKNOWN,Beyaz Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,2010.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,2010.00,UNKNOWN,,https://iyisarap.plus/products/prinz-von-hessen-riesling,FACT,EV-2026-08-09-509,,turkiye-pazar-kasifi,Online uzman sarap perakendecisi listeleme fiyati. Sitede KDV ibaresi YOK -> kdv_durumu UNKNOWN. Sadece stokta (available=true) urunler alindi. compare_at_price yok -> promosyon yok.
OBS-521,Arthur Metz Gewürztraminer,Arthur Metz,Arthur Metz,Fransa,UNKNOWN,Yarı Tatlı Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,2020.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,2020.00,UNKNOWN,,https://iyisarap.plus/products/arthur-metz-gewurztraminer,FACT,EV-2026-08-09-509,,turkiye-pazar-kasifi,Online uzman sarap perakendecisi listeleme fiyati. Sitede KDV ibaresi YOK -> kdv_durumu UNKNOWN. Sadece stokta (available=true) urunler alindi. compare_at_price yok -> promosyon yok.
OBS-522,Schloss Gobelsburg Grüner Veltliner,Schloss Gobelsburg,Schloss Gobelsburg,Avusturya,UNKNOWN,Beyaz Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,2048.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,2048.00,UNKNOWN,,https://iyisarap.plus/products/schloss-gobelsburg-gruner-veltliner,FACT,EV-2026-08-09-509,,turkiye-pazar-kasifi,Online uzman sarap perakendecisi listeleme fiyati. Sitede KDV ibaresi YOK -> kdv_durumu UNKNOWN. Sadece stokta (available=true) urunler alindi. compare_at_price yok -> promosyon yok.
OBS-523,Mistia Gafa Beyaz Blend,Mistia,Mistia,Turkiye,UNKNOWN,Beyaz Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,460.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,460.00,YERLI URETICI,,https://iyisarap.plus/products/mistia-gafa-beyaz-blend,FACT,EV-2026-08-09-510,,turkiye-pazar-kasifi,Yerli SKU. Ayni bant (600-800 TL) benchmark bandidir. kdv_durumu UNKNOWN.
OBS-524,Asmadan Kor Blend,Asmadan,Asmadan,Turkiye,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,649.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,649.00,YERLI URETICI,,https://iyisarap.plus/products/asmadan-kor-blend,FACT,EV-2026-08-09-510,,turkiye-pazar-kasifi,Yerli SKU. Ayni bant (600-800 TL) benchmark bandidir. kdv_durumu UNKNOWN.
OBS-525,KA Winery Pulse,KA Winery,KA Winery,Turkiye,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,655.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,655.00,YERLI URETICI,,https://iyisarap.plus/products/ka-winery-cabernet-sauvignon-merlot-kopya,FACT,EV-2026-08-09-510,,turkiye-pazar-kasifi,Yerli SKU. Ayni bant (600-800 TL) benchmark bandidir. kdv_durumu UNKNOWN.
OBS-526,"Lermonos Carovino Çal Karası ""Blanc de Noir""",Lermonos,Lermonos,Turkiye,UNKNOWN,Beyaz Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,655.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,655.00,YERLI URETICI,,https://iyisarap.plus/products/lermonos-carovino-cal-karasi-blanc-de-noir,FACT,EV-2026-08-09-510,,turkiye-pazar-kasifi,Yerli SKU. Ayni bant (600-800 TL) benchmark bandidir. kdv_durumu UNKNOWN.
OBS-527,Umurbey Blend,Umurbey,Umurbey,Turkiye,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,659.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,659.00,YERLI URETICI,,https://iyisarap.plus/products/umurbey-blend,FACT,EV-2026-08-09-510,,turkiye-pazar-kasifi,Yerli SKU. Ayni bant (600-800 TL) benchmark bandidir. kdv_durumu UNKNOWN.
OBS-528,Nif Bağları Perseus Beyaz Blend,Nif Bağları,Nif Bağları,Turkiye,UNKNOWN,Beyaz Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,670.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,670.00,YERLI URETICI,,https://iyisarap.plus/products/nif-baglari-perseus-beyaz-blend,FACT,EV-2026-08-09-510,,turkiye-pazar-kasifi,Yerli SKU. Ayni bant (600-800 TL) benchmark bandidir. kdv_durumu UNKNOWN.
OBS-529,Nif Bağları Perseus Kırmızı Blend,Nif Bağları,Nif Bağları,Turkiye,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,670.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,670.00,YERLI URETICI,,https://iyisarap.plus/products/nif-baglari-perseus-kirmizi-blend,FACT,EV-2026-08-09-510,,turkiye-pazar-kasifi,Yerli SKU. Ayni bant (600-800 TL) benchmark bandidir. kdv_durumu UNKNOWN.
OBS-530,Mistia Cinane Ak Üzüm,Mistia,Mistia,Turkiye,UNKNOWN,Beyaz Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,672.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,672.00,YERLI URETICI,,https://iyisarap.plus/products/mistia-cinane-ak-uzum,FACT,EV-2026-08-09-510,,turkiye-pazar-kasifi,Yerli SKU. Ayni bant (600-800 TL) benchmark bandidir. kdv_durumu UNKNOWN.
OBS-531,Vinkara Öküzgözü & Boğazkere,Vinkara,Vinkara,Turkiye,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,710.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,710.00,YERLI URETICI,,https://iyisarap.plus/products/vinkara-okuzgozu-bogazkere,FACT,EV-2026-08-09-510,,turkiye-pazar-kasifi,Yerli SKU. Ayni bant (600-800 TL) benchmark bandidir. kdv_durumu UNKNOWN.
OBS-532,Vinkara Kalecik Karası,Vinkara,Vinkara,Turkiye,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,710.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,710.00,YERLI URETICI,,https://iyisarap.plus/products/vinkara-doruk-kalecik-karasi,FACT,EV-2026-08-09-510,,turkiye-pazar-kasifi,Yerli SKU. Ayni bant (600-800 TL) benchmark bandidir. kdv_durumu UNKNOWN.
OBS-533,KA Winery Rose,KA Winery,KA Winery,Turkiye,UNKNOWN,Rose Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,745.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,745.00,YERLI URETICI,,https://iyisarap.plus/products/ka-winery-rose,FACT,EV-2026-08-09-510,,turkiye-pazar-kasifi,Yerli SKU. Ayni bant (600-800 TL) benchmark bandidir. kdv_durumu UNKNOWN.
OBS-534,Vinkara Narince,Vinkara,Vinkara,Turkiye,UNKNOWN,Beyaz Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,752.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,752.00,YERLI URETICI,,https://iyisarap.plus/products/vinkara-narince,FACT,EV-2026-08-09-510,,turkiye-pazar-kasifi,Yerli SKU. Ayni bant (600-800 TL) benchmark bandidir. kdv_durumu UNKNOWN.
OBS-535,Vinkara Atelier Kalecik Karası & Öküzgözü,Vinkara,Vinkara,Turkiye,UNKNOWN,Yarı Tatlı Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,754.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,754.00,YERLI URETICI,,https://iyisarap.plus/products/vinkara-atelier-kalecik-karasi-okuzgozu,FACT,EV-2026-08-09-510,,turkiye-pazar-kasifi,Yerli SKU. Ayni bant (600-800 TL) benchmark bandidir. kdv_durumu UNKNOWN.
OBS-536,Vinkara Atelier Öküzgözü,Vinkara,Vinkara,Turkiye,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,754.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,754.00,YERLI URETICI,,https://iyisarap.plus/products/vinkara-winehouse-okuzgozu,FACT,EV-2026-08-09-510,,turkiye-pazar-kasifi,Yerli SKU. Ayni bant (600-800 TL) benchmark bandidir. kdv_durumu UNKNOWN.
OBS-537,Turasan Narince,Turasan,Turasan,Turkiye,UNKNOWN,Beyaz Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,758.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,758.00,YERLI URETICI,,https://iyisarap.plus/products/turasan-narince,FACT,EV-2026-08-09-510,,turkiye-pazar-kasifi,Yerli SKU. Ayni bant (600-800 TL) benchmark bandidir. kdv_durumu UNKNOWN.
OBS-538,Turasan Misket,Turasan,Turasan,Turkiye,UNKNOWN,Yarı Tatlı Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,758.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,758.00,YERLI URETICI,,https://iyisarap.plus/products/turasan-misket,FACT,EV-2026-08-09-510,,turkiye-pazar-kasifi,Yerli SKU. Ayni bant (600-800 TL) benchmark bandidir. kdv_durumu UNKNOWN.
OBS-539,Çamlıbağ Kuntra,Çamlıbağ,Çamlıbağ,Turkiye,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,760.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,760.00,YERLI URETICI,,https://iyisarap.plus/products/camlibag-kuntra,FACT,EV-2026-08-09-510,,turkiye-pazar-kasifi,Yerli SKU. Ayni bant (600-800 TL) benchmark bandidir. kdv_durumu UNKNOWN.
OBS-540,Çamlıbağ Karalahna,Çamlıbağ,Çamlıbağ,Turkiye,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,760.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,760.00,YERLI URETICI,,https://iyisarap.plus/products/camlibag-karalahna,FACT,EV-2026-08-09-510,,turkiye-pazar-kasifi,Yerli SKU. Ayni bant (600-800 TL) benchmark bandidir. kdv_durumu UNKNOWN.
OBS-541,Umurbey Sauvignon Blanc & Chardonnay,Umurbey,Umurbey,Turkiye,UNKNOWN,Beyaz Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,769.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,769.00,YERLI URETICI,,https://iyisarap.plus/products/umurbey-sauvignon-blanc-chardonnay,FACT,EV-2026-08-09-510,,turkiye-pazar-kasifi,Yerli SKU. Ayni bant (600-800 TL) benchmark bandidir. kdv_durumu UNKNOWN.
OBS-542,Umurbey Blush,Umurbey,Umurbey,Turkiye,UNKNOWN,Rose Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,769.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,769.00,YERLI URETICI,,https://iyisarap.plus/products/umurbey-blush,FACT,EV-2026-08-09-510,,turkiye-pazar-kasifi,Yerli SKU. Ayni bant (600-800 TL) benchmark bandidir. kdv_durumu UNKNOWN.
OBS-543,Vinkara Cabernet Sauvignon,Vinkara,Vinkara,Turkiye,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,780.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,780.00,YERLI URETICI,,https://iyisarap.plus/products/vinkara-cabernet-sauvignon,FACT,EV-2026-08-09-510,,turkiye-pazar-kasifi,Yerli SKU. Ayni bant (600-800 TL) benchmark bandidir. kdv_durumu UNKNOWN.
OBS-544,Vinkara Syrah,Vinkara,Vinkara,Turkiye,UNKNOWN,Kırmızı Şarap,UNKNOWN,UNKNOWN,750,UNKNOWN,780.00,TRY,UNKNOWN,L8,iyisarap.plus,ONLINE,iyisarap.plus,UNKNOWN,2026-08-09,ONLINE,HAYIR,780.00,YERLI URETICI,,https://iyisarap.plus/products/vinkara-syrah,FACT,EV-2026-08-09-510,,turkiye-pazar-kasifi,Yerli SKU. Ayni bant (600-800 TL) benchmark bandidir. kdv_durumu UNKNOWN.
